Designator,Mid X,Mid Y,Rotation,Layer
D1,23.0,-84.0,270.0,bottom
D10,245.75,-95.0,270.0,bottom
D11,96.81,-26.32,90.0,bottom
D12,115.81,-31.42,90.0,bottom
D13,115.81,-50.42,90.0,bottom
D14,115.56,-69.17,90.0,bottom
D15,115.81,-89.07,90.0,bottom
D16,226.75,-31.9,270.0,bottom
D17,226.5,-49.9,270.0,bottom
D18,226.5,-68.15,270.0,bottom
D19,226.5,-87.0,270.0,bottom
D2,265.0,-83.9,270.0,bottom
D20,207.5,-44.5,270.0,bottom
D21,96.81,-62.92,90.0,bottom
D22,96.56,-83.82,90.0,bottom
D23,96.81,-43.07,90.0,bottom
D24,77.56,-34.8975,90.0,bottom
D25,77.56,-87.92,90.0,bottom
D26,207.5,-62.85,270.0,bottom
D27,207.5,-82.65,270.0,bottom
D28,188.25,-87.75,270.0,bottom
D29,188.5,-67.75,270.0,bottom
D3,134.81,-39.67,90.0,bottom
D30,188.25,-48.75,270.0,bottom
D31,58.56,-58.32,90.0,bottom
D32,58.56,-78.67,90.0,bottom
D33,58.56,-97.32,90.0,bottom
D34,77.56,-50.52,90.0,bottom
D35,77.56,-69.07,90.0,bottom
D36,188.5,-29.5,270.0,bottom
D37,169.5,-38.5,270.0,bottom
D38,207.5,-25.5,270.0,bottom
D39,169.5,-58.25,270.0,bottom
D4,245.75,-37.4,270.0,bottom
D40,169.5,-76.75,270.0,bottom
D41,58.56,-38.82,90.0,bottom
D42,169.5,-95.5,270.0,bottom
D5,134.81,-59.17,270.0,bottom
D6,134.81,-76.92,90.0,bottom
D7,245.75,-57.25,270.0,bottom
D8,245.75,-75.6,270.0,bottom
D9,134.81,-97.17,90.0,bottom
H2,144.5,-53.5,90.0,bottom
H4,144.5,-18.0,270.0,bottom
H6,144.5,-76.0,270.0,bottom
H8,144.5,-109.0,270.0,bottom
R1,15.5875,-49.5,0.0,bottom
R2,255.25,-37.25,180.0,bottom
R3,15.8375,-53.25,180.0,bottom
R4,255.25,-34.3,180.0,bottom
SW1,31.25,-86.41,0.0,bottom
SW10,237.21,-97.66,0.0,bottom
SW11,88.48,-28.33,0.0,bottom
SW12,107.56,-34.33,0.0,bottom
SW13,107.48,-53.33,0.0,bottom
SW14,107.48,-72.33,0.0,bottom
SW15,107.48,-91.33,0.0,bottom
SW16,218.19,-33.45,0.0,bottom
SW17,218.17,-52.41,0.0,bottom
SW18,218.17,-71.41,0.0,bottom
SW19,218.17,-90.41,0.0,bottom
SW2,256.44,-86.2,0.0,bottom
SW20,199.17,-47.16,0.0,bottom
SW21,88.35,-66.41,0.0,bottom
SW22,88.25,-85.37,0.0,bottom
SW23,88.39,-47.33,0.0,bottom
SW24,69.31,-34.08,0.0,bottom
SW25,69.31,-91.08,0.0,bottom
SW26,199.19,-66.16,0.0,bottom
SW27,199.17,-85.16,0.0,bottom
SW28,180.19,-90.2,0.0,bottom
SW29,180.17,-71.16,0.0,bottom
SW3,126.56,-41.58,0.0,bottom
SW30,180.08,-52.16,0.0,bottom
SW31,50.25,-60.62,0.0,bottom
SW32,50.25,-79.66,0.0,bottom
SW33,50.25,-98.62,0.0,bottom
SW34,69.23,-53.08,0.0,bottom
SW35,69.25,-72.12,0.0,bottom
SW36,180.08,-32.91,0.0,bottom
SW37,161.04,-41.66,0.0,bottom
SW38,199.17,-28.16,0.0,bottom
SW39,161.08,-60.66,0.0,bottom
SW4,237.21,-40.62,0.0,bottom
SW40,161.0,-79.66,0.0,bottom
SW41,50.23,-41.58,0.0,bottom
SW42,161.0,-98.66,0.0,bottom
SW5,126.5,-60.62,0.0,bottom
SW6,126.5,-79.62,0.0,bottom
SW7,237.21,-59.66,0.0,bottom
SW8,237.25,-78.7,0.0,bottom
SW9,126.5,-98.62,0.0,bottom
TP1,16.75,-41.75,0.0,bottom
TP2,255.07,-30.8,180.0,bottom
U3,28.7775,-63.5342,0.0,bottom
U4,262.4925,-63.3127,0.0,bottom
